faculty_id,faculty_name,publication_id,verification_status,match_method,source_name
RVCE-CSE-002,Ashok Kumar A R,W4403124150,OpenAlex author match; name score 1.00,openalex_name_match,OpenAlex
RVCE-CSE-002,Ashok Kumar A R,W4403060511,OpenAlex author match; name score 1.00,openalex_name_match,OpenAlex
RVCE-CSE-002,Ashok Kumar A R,W4400124355,OpenAlex author match; name score 1.00,openalex_name_match,OpenAlex
RVCE-CSE-002,Ashok Kumar A R,W4402674134,OpenAlex author match; name score 1.00,openalex_name_match,OpenAlex
RVCE-CSE-002,Ashok Kumar A R,W4403124327,OpenAlex author match; name score 1.00,openalex_name_match,OpenAlex
RVCE-CSE-002,Ashok Kumar A R,W4402511208,OpenAlex author match; name score 1.00,openalex_name_match,OpenAlex
RVCE-CSE-002,Ashok Kumar A R,W4403124725,OpenAlex author match; name score 1.00,openalex_name_match,OpenAlex
RVCE-CSE-002,Ashok Kumar A R,W4389372254,OpenAlex author match; name score 1.00,openalex_name_match,OpenAlex
RVCE-CSE-002,Ashok Kumar A R,W4382769995,OpenAlex author match; name score 1.00,openalex_name_match,OpenAlex
RVCE-CSE-002,Ashok Kumar A R,W4383876054,OpenAlex author match; name score 1.00,openalex_name_match,OpenAlex
RVCE-CSE-002,Ashok Kumar A R,W4389400770,OpenAlex author match; name score 1.00,openalex_name_match,OpenAlex
RVCE-CSE-002,Ashok Kumar A R,W4396715076,OpenAlex author match; name score 1.00,openalex_name_match,OpenAlex
RVCE-CSE-002,Ashok Kumar A R,W3026268822,OpenAlex author match; name score 1.00,openalex_name_match,OpenAlex
RVCE-CSE-002,Ashok Kumar A R,W2943873397,OpenAlex author match; name score 1.00,openalex_name_match,OpenAlex
RVCE-CSE-002,Ashok Kumar A R,W2766473441,OpenAlex author match; name score 1.00,openalex_name_match,OpenAlex
RVCE-CSE-004,B Sathish Babu,W4415333048,OpenAlex author match; name score 1.00,openalex_name_match,OpenAlex
RVCE-CSE-004,B Sathish Babu,W4409327319,OpenAlex author match; name score 1.00,openalex_name_match,OpenAlex
RVCE-CSE-004,B Sathish Babu,W4407968963,OpenAlex author match; name score 1.00,openalex_name_match,OpenAlex
RVCE-CSE-004,B Sathish Babu,W4417508881,OpenAlex author match; name score 1.00,openalex_name_match,OpenAlex
RVCE-CSE-004,B Sathish Babu,W4416798172,OpenAlex author match; name score 1.00,openalex_name_match,OpenAlex
RVCE-CSE-004,B Sathish Babu,W4411584769,OpenAlex author match; name score 1.00,openalex_name_match,OpenAlex
RVCE-CSE-004,B Sathish Babu,W4407897849,OpenAlex author match; name score 1.00,openalex_name_match,OpenAlex
RVCE-CSE-004,B Sathish Babu,W4406754905,OpenAlex author match; name score 1.00,openalex_name_match,OpenAlex
RVCE-CSE-004,B Sathish Babu,W4399314302,OpenAlex author match; name score 1.00,openalex_name_match,OpenAlex
RVCE-CSE-004,B Sathish Babu,W4399314292,OpenAlex author match; name score 1.00,openalex_name_match,OpenAlex
RVCE-CSE-004,B Sathish Babu,W4399314297,OpenAlex author match; name score 1.00,openalex_name_match,OpenAlex
RVCE-CSE-004,B Sathish Babu,W4408400523,OpenAlex author match; name score 1.00,openalex_name_match,OpenAlex
RVCE-CSE-004,B Sathish Babu,W4407362492,OpenAlex author match; name score 1.00,openalex_name_match,OpenAlex
RVCE-CSE-004,B Sathish Babu,W4404784097,OpenAlex author match; name score 1.00,openalex_name_match,OpenAlex
RVCE-CSE-004,B Sathish Babu,W4405087924,OpenAlex author match; name score 1.00,openalex_name_match,OpenAlex
RVCE-CSE-004,B Sathish Babu,W4365807592,OpenAlex author match; name score 1.00,openalex_name_match,OpenAlex
RVCE-CSE-004,B Sathish Babu,W4382052614,OpenAlex author match; name score 1.00,openalex_name_match,OpenAlex
RVCE-CSE-004,B Sathish Babu,W4376602805,OpenAlex author match; name score 1.00,openalex_name_match,OpenAlex
RVCE-CSE-004,B Sathish Babu,W4292423521,OpenAlex author match; name score 1.00,openalex_name_match,OpenAlex
